ccode,country.name,year,value
250,France,1820,88.39622
380,Italy,1820,88.77438
752,Sweden,1820,89.68884
826,United Kingdom,1820,90.26755
840,United States,1820,76.06042
250,France,1830,87.23762
380,Italy,1830,88.30662
752,Sweden,1830,88.79256
826,United Kingdom,1830,90.31212
840,United States,1830,77.50833
250,France,1840,85.88803
380,Italy,1840,87.83884
752,Sweden,1840,87.89628
826,United Kingdom,1840,90.35669
840,United States,1840,78.95625
250,France,1850,90.29265
380,Italy,1850,87.37108
752,Sweden,1850,87
826,United Kingdom,1850,90.40126
840,United States,1850,80.40417
250,France,1860,88.24135
380,Italy,1860,86.90331
752,Sweden,1860,89.98765
826,United Kingdom,1860,90.44583
840,United States,1860,81.85208
250,France,1870,86.97066
380,Italy,1870,86.43554
392,Japan,1870,53
752,Sweden,1870,92.97529
826,United Kingdom,1870,90.4904
840,United States,1870,83.3
826,United Kingdom,1875,90.51269
250,France,1880,87.32592
380,Italy,1880,85.96777
752,Sweden,1880,92.31686
826,United Kingdom,1880,91.79572
840,United States,1880,82.70544
124,Canada,1890,90.65755
250,France,1890,87.87035
380,Italy,1890,85.5
392,Japan,1890,52.8
752,Sweden,1890,91.65843
826,United Kingdom,1890,94.36176
840,United States,1890,82.11088
380,Italy,1893,89.62282
124,Canada,1900,89.28139
250,France,1900,89.06368
380,Italy,1900,83.26
392,Japan,1900,52.7
752,Sweden,1900,91
826,United Kingdom,1900,96.92781
840,United States,1900,84.37199
826,United Kingdom,1901,97.13142
380,Italy,1902,82.01287
826,United Kingdom,1902,96.85995
250,France,1903,89.41821
380,Italy,1903,84.83603
826,United Kingdom,1903,96.73778
250,France,1904,89.93657
380,Italy,1904,89.03462
826,United Kingdom,1904,96.71741
250,France,1905,90.02261
380,Italy,1905,89.11074
826,United Kingdom,1905,96.826
380,Italy,1906,88.47604
826,United Kingdom,1906,96.84637
250,France,1907,89.44143
380,Italy,1907,84.94554
826,United Kingdom,1907,96.60204
208,Denmark,1908,93.0334
380,Italy,1908,84.56123
752,Sweden,1908,92.13511
826,United Kingdom,1908,96.48666
246,Finland,1909,80.95516
250,France,1909,89.46119
380,Italy,1909,83.43351
826,United Kingdom,1909,96.56811
36,Australia,1910,85.5
124,Canada,1910,86.76084
208,Denmark,1910,92.52229
246,Finland,1910,80.76897
250,France,1910,89.2756
380,Italy,1910,81.03
392,Japan,1910,52.6
578,Norway,1910,85.13583
752,Sweden,1910,93.66337
826,United Kingdom,1910,96.37807
840,United States,1910,86.63312
250,France,1911,89.62379
380,Italy,1911,85.93109
826,United Kingdom,1911,96.95863
250,France,1912,89.64124
380,Italy,1912,88.10941
578,Norway,1912,85.08048
826,United Kingdom,1912,97.06403
250,France,1913,89.43024
380,Italy,1913,88.62416
756,Switzerland,1913,91.24422
826,United Kingdom,1913,96.86711
250,France,1914,89.43314
380,Italy,1914,81.03
826,United Kingdom,1914,97.15125
840,United States,1914,86.55035
208,Denmark,1915,91.24451
246,Finland,1915,79.83803
250,France,1915,89.0434
756,Switzerland,1915,88.09354
840,United States,1915,86.28824
250,France,1916,89.09341
840,United States,1916,86.46977
208,Denmark,1917,92.00896
250,France,1917,89.11503
840,United States,1917,86.53354
208,Denmark,1918,91.6425
250,France,1918,88.96339
840,United States,1918,86.72429
208,Denmark,1919,90.20686
250,France,1919,88.72807
756,Switzerland,1919,85.04427
826,United Kingdom,1919,93.94159
840,United States,1919,87.81709
36,Australia,1920,79.91667
124,Canada,1920,84.2403
208,Denmark,1920,88.40466
246,Finland,1920,77.41374
250,France,1920,88.20277
380,Italy,1920,79.3316
392,Japan,1920,52.5
578,Norway,1920,87.75232
752,Sweden,1920,96.22737
756,Switzerland,1920,85.60197
826,United Kingdom,1920,93.53578
840,United States,1920,86.3828
208,Denmark,1921,90.36703
250,France,1921,87.83334
826,United Kingdom,1921,93.68369
840,United States,1921,86.30442
208,Denmark,1922,90.57089
246,Finland,1922,76.44402
250,France,1922,87.53506
826,United Kingdom,1922,94.15199
840,United States,1922,87.20874
208,Denmark,1923,90.34146
250,France,1923,87.30694
826,United Kingdom,1923,93.79401
840,United States,1923,87.52158
208,Denmark,1924,90.07695
250,France,1924,87.26432
826,United Kingdom,1924,93.50349
840,United States,1924,88.58378
208,Denmark,1925,90.45545
250,France,1925,85.39696
756,Switzerland,1925,84.74006
826,United Kingdom,1925,93.67407
840,United States,1925,89.36777
246,Finland,1926,79.25359
250,France,1926,85.29833
826,United Kingdom,1926,92.98378
840,United States,1926,90.05091
250,France,1927,86.07217
826,United Kingdom,1927,93.54228
840,United States,1927,90.78524
826,United Kingdom,1928,92.60062
840,United States,1928,90.98927
250,France,1929,86.59151
826,United Kingdom,1929,92.8813
840,United States,1929,90.94618
36,Australia,1930,74.33334
124,Canada,1930,81.71975
208,Denmark,1930,90.52563
246,Finland,1930,78.80107
250,France,1930,86.69989
380,Italy,1930,76.50093
392,Japan,1930,52.4
578,Norway,1930,91.09212
752,Sweden,1930,94.63393
756,Switzerland,1930,85.37744
826,United Kingdom,1930,92.20106
840,United States,1930,91.08549
250,France,1931,85.87877
826,United Kingdom,1931,91.96661
840,United States,1931,90.91681
250,France,1932,85.34504
826,United Kingdom,1932,91.91911
840,United States,1932,91.23743
250,France,1933,85.35626
826,United Kingdom,1933,92.40097
840,United States,1933,91.06242
826,United Kingdom,1934,92.19058
840,United States,1934,89.952
250,France,1935,84.6306
752,Sweden,1935,90.33161
826,United Kingdom,1935,92.01412
840,United States,1935,88.97805
250,France,1936,84.37428
620,Portugal,1936,82.94381
826,United Kingdom,1936,91.50005
840,United States,1936,89.33695
250,France,1937,84.18873
620,Portugal,1937,85.14566
826,United Kingdom,1937,91.72228
840,United States,1937,87.97157
250,France,1938,83.05981
620,Portugal,1938,86.58701
826,United Kingdom,1938,91.39092
840,United States,1938,87.72225
208,Denmark,1939,90.65196
250,France,1939,83.73268
620,Portugal,1939,83.92161
826,United Kingdom,1939,90.86714
840,United States,1939,87.96003
36,Australia,1940,68.75
124,Canada,1940,79.19921
208,Denmark,1940,90.42031
250,France,1940,81.71789
380,Italy,1940,73.67027
392,Japan,1940,52.3
578,Norway,1940,88.59733
620,Portugal,1940,89.49143
752,Sweden,1940,90.194
756,Switzerland,1940,88.36878
826,United Kingdom,1940,90.52101
840,United States,1940,85.67827
250,France,1941,82.5269
620,Portugal,1941,89.00616
756,Switzerland,1941,89.14377
826,United Kingdom,1941,89.82875
840,United States,1941,83.86963
250,France,1942,83.18079
620,Portugal,1942,88.50639
840,United States,1942,82.60049
250,France,1943,84.20853
620,Portugal,1943,88.09354
840,United States,1943,82.93693
208,Denmark,1944,89.49371
250,France,1944,83.90891
620,Portugal,1944,87.7314
840,United States,1944,81.29503
250,France,1945,82.68936
620,Portugal,1945,87.33304
752,Sweden,1945,90.05638
756,Switzerland,1945,86.49285
840,United States,1945,81.79723
250,France,1946,81.26419
620,Portugal,1946,88.60056
752,Sweden,1946,88.7599
826,United Kingdom,1946,90.30383
840,United States,1946,81.59971
250,France,1947,80.36292
620,Portugal,1947,96.07526
752,Sweden,1947,87.45617
756,Switzerland,1947,87.06505
826,United Kingdom,1947,89.91698
840,United States,1947,80.60432
250,France,1948,80.84357
578,Norway,1948,86.60149
620,Portugal,1948,91.3239
752,Sweden,1948,88.27461
826,United Kingdom,1948,90.00521
840,United States,1948,79.56149
208,Denmark,1949,82.80569
250,France,1949,81.36186
620,Portugal,1949,91.97576
752,Sweden,1949,87.13023
756,Switzerland,1949,86.86949
826,United Kingdom,1949,89.04148
840,United States,1949,78.97057
36,Australia,1950,63.16666
124,Canada,1950,76.67867
208,Denmark,1950,81.30846
250,France,1950,81.70574
