Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
16082200,NCD_BMI_18C,REGION,GLOBAL,YEAR,1975,SEX,BTSX,,,,,,,14.6 [12.7-16.6],14.6,12.7,16.6,,2017-09-22T12:01:34Z,1975,1975-01-01,1975-12-31
16082201,NCD_BMI_18C,REGION,GLOBAL,YEAR,1976,SEX,BTSX,,,,,,,14.5 [12.6-16.4],14.5,12.6,16.4,,2017-09-22T12:01:34Z,1976,1976-01-01,1976-12-31
16082202,NCD_BMI_18C,REGION,GLOBAL,YEAR,1977,SEX,BTSX,,,,,,,14.4 [12.6-16.2],14.4,12.6,16.2,,2017-09-22T12:01:34Z,1977,1977-01-01,1977-12-31
16082203,NCD_BMI_18C,REGION,GLOBAL,YEAR,1978,SEX,BTSX,,,,,,,14.2 [12.6-16.0],14.2,12.6,16,,2017-09-22T12:01:34Z,1978,1978-01-01,1978-12-31
16082204,NCD_BMI_18C,REGION,GLOBAL,YEAR,1979,SEX,BTSX,,,,,,,14.1 [12.5-15.7],14.1,12.5,15.7,,2017-09-22T12:01:34Z,1979,1979-01-01,1979-12-31
16082205,NCD_BMI_18C,REGION,GLOBAL,YEAR,1980,SEX,BTSX,,,,,,,14.0 [12.5-15.6],14,12.5,15.6,,2017-09-22T12:01:34Z,1980,1980-01-01,1980-12-31
16082206,NCD_BMI_18C,REGION,GLOBAL,YEAR,1981,SEX,BTSX,,,,,,,13.9 [12.4-15.4],13.9,12.4,15.4,,2017-09-22T12:01:34Z,1981,1981-01-01,1981-12-31
16082207,NCD_BMI_18C,REGION,GLOBAL,YEAR,1982,SEX,BTSX,,,,,,,13.8 [12.4-15.2],13.8,12.4,15.2,,2017-09-22T12:01:34Z,1982,1982-01-01,1982-12-31
16082208,NCD_BMI_18C,REGION,GLOBAL,YEAR,1983,SEX,BTSX,,,,,,,13.6 [12.3-15.0],13.6,12.3,15,,2017-09-22T12:01:34Z,1983,1983-01-01,1983-12-31
16082209,NCD_BMI_18C,REGION,GLOBAL,YEAR,1984,SEX,BTSX,,,,,,,13.5 [12.3-14.8],13.5,12.3,14.8,,2017-09-22T12:01:34Z,1984,1984-01-01,1984-12-31
16082210,NCD_BMI_18C,REGION,GLOBAL,YEAR,1985,SEX,BTSX,,,,,,,13.4 [12.2-14.6],13.4,12.2,14.6,,2017-09-22T12:01:34Z,1985,1985-01-01,1985-12-31
16082211,NCD_BMI_18C,REGION,GLOBAL,YEAR,1986,SEX,BTSX,,,,,,,13.3 [12.2-14.4],13.3,12.2,14.4,,2017-09-22T12:01:34Z,1986,1986-01-01,1986-12-31
16082212,NCD_BMI_18C,REGION,GLOBAL,YEAR,1987,SEX,BTSX,,,,,,,13.1 [12.1-14.2],13.1,12.1,14.2,,2017-09-22T12:01:34Z,1987,1987-01-01,1987-12-31
16082213,NCD_BMI_18C,REGION,GLOBAL,YEAR,1988,SEX,BTSX,,,,,,,13.0 [12.0-14.1],13,12,14.1,,2017-09-22T12:01:34Z,1988,1988-01-01,1988-12-31
16082214,NCD_BMI_18C,REGION,GLOBAL,YEAR,1989,SEX,BTSX,,,,,,,12.9 [11.9-13.9],12.9,11.9,13.9,,2017-09-22T12:01:34Z,1989,1989-01-01,1989-12-31
16082215,NCD_BMI_18C,REGION,GLOBAL,YEAR,1990,SEX,BTSX,,,,,,,12.8 [11.9-13.7],12.8,11.9,13.7,,2017-09-22T12:01:34Z,1990,1990-01-01,1990-12-31
16082216,NCD_BMI_18C,REGION,GLOBAL,YEAR,1991,SEX,BTSX,,,,,,,12.6 [11.8-13.6],12.6,11.8,13.6,,2017-09-22T12:01:34Z,1991,1991-01-01,1991-12-31
16082217,NCD_BMI_18C,REGION,GLOBAL,YEAR,1992,SEX,BTSX,,,,,,,12.5 [11.7-13.4],12.5,11.7,13.4,,2017-09-22T12:01:34Z,1992,1992-01-01,1992-12-31
16082218,NCD_BMI_18C,REGION,GLOBAL,YEAR,1993,SEX,BTSX,,,,,,,12.4 [11.6-13.2],12.4,11.6,13.2,,2017-09-22T12:01:34Z,1993,1993-01-01,1993-12-31
16082219,NCD_BMI_18C,REGION,GLOBAL,YEAR,1994,SEX,BTSX,,,,,,,12.2 [11.5-13.0],12.2,11.5,13,,2017-09-22T12:01:34Z,1994,1994-01-01,1994-12-31
16082220,NCD_BMI_18C,REGION,GLOBAL,YEAR,1995,SEX,BTSX,,,,,,,12.1 [11.4-12.9],12.1,11.4,12.9,,2017-09-22T12:01:34Z,1995,1995-01-01,1995-12-31
16082221,NCD_BMI_18C,REGION,GLOBAL,YEAR,1996,SEX,BTSX,,,,,,,12.0 [11.3-12.7],12,11.3,12.7,,2017-09-22T12:01:34Z,1996,1996-01-01,1996-12-31
16082222,NCD_BMI_18C,REGION,GLOBAL,YEAR,1997,SEX,BTSX,,,,,,,11.8 [11.2-12.6],11.8,11.2,12.6,,2017-09-22T12:01:34Z,1997,1997-01-01,1997-12-31
16082223,NCD_BMI_18C,REGION,GLOBAL,YEAR,1998,SEX,BTSX,,,,,,,11.7 [11.1-12.4],11.7,11.1,12.4,,2017-09-22T12:01:34Z,1998,1998-01-01,1998-12-31
16082224,NCD_BMI_18C,REGION,GLOBAL,YEAR,1999,SEX,BTSX,,,,,,,11.6 [10.9-12.2],11.6,10.9,12.2,,2017-09-22T12:01:34Z,1999,1999-01-01,1999-12-31
16082225,NCD_BMI_18C,REGION,GLOBAL,YEAR,2000,SEX,BTSX,,,,,,,11.4 [10.8-12.1],11.4,10.8,12.1,,2017-09-22T12:01:34Z,2000,2000-01-01,2000-12-31
16082226,NCD_BMI_18C,REGION,GLOBAL,YEAR,2001,SEX,BTSX,,,,,,,11.3 [10.7-11.9],11.3,10.7,11.9,,2017-09-22T12:01:35Z,2001,2001-01-01,2001-12-31
16082227,NCD_BMI_18C,REGION,GLOBAL,YEAR,2002,SEX,BTSX,,,,,,,11.2 [10.5-11.8],11.2,10.5,11.8,,2017-09-22T12:01:35Z,2002,2002-01-01,2002-12-31
16082228,NCD_BMI_18C,REGION,GLOBAL,YEAR,2003,SEX,BTSX,,,,,,,11.0 [10.4-11.6],11,10.4,11.6,,2017-09-22T12:01:35Z,2003,2003-01-01,2003-12-31
16082229,NCD_BMI_18C,REGION,GLOBAL,YEAR,2004,SEX,BTSX,,,,,,,10.8 [10.2-11.5],10.8,10.2,11.5,,2017-09-22T12:01:35Z,2004,2004-01-01,2004-12-31
16082230,NCD_BMI_18C,REGION,GLOBAL,YEAR,2005,SEX,BTSX,,,,,,,10.7 [10.1-11.3],10.7,10.1,11.3,,2017-09-22T12:01:35Z,2005,2005-01-01,2005-12-31
16082231,NCD_BMI_18C,REGION,GLOBAL,YEAR,2006,SEX,BTSX,,,,,,,10.5 [9.9-11.2],10.5,9.9,11.2,,2017-09-22T12:01:35Z,2006,2006-01-01,2006-12-31
16082232,NCD_BMI_18C,REGION,GLOBAL,YEAR,2007,SEX,BTSX,,,,,,,10.4 [9.8-11.0],10.4,9.8,11,,2017-09-22T12:01:35Z,2007,2007-01-01,2007-12-31
16082233,NCD_BMI_18C,REGION,GLOBAL,YEAR,2008,SEX,BTSX,,,,,,,10.2 [9.6-10.9],10.2,9.6,10.9,,2017-09-22T12:01:35Z,2008,2008-01-01,2008-12-31
16082234,NCD_BMI_18C,REGION,GLOBAL,YEAR,2009,SEX,BTSX,,,,,,,10.0 [9.4-10.7],10,9.4,10.7,,2017-09-22T12:01:35Z,2009,2009-01-01,2009-12-31
