Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
15417688,NCD_BMI_25A,COUNTRY,SDF,YEAR,1990,SEX,MLE,,,,,,,12.6 [8.7-17.4],12.6,8.7,17.4,,2017-01-05T15:40:41Z,1990,1990-01-01,1990-12-31
15417689,NCD_BMI_25A,COUNTRY,SDF,YEAR,1999,SEX,MLE,,,,,,,15.0 [11.1-19.6],15,11.1,19.6,,2017-01-05T15:40:41Z,1999,1999-01-01,1999-12-31
15417690,NCD_BMI_25A,COUNTRY,SDF,YEAR,2008,SEX,MLE,,,,,,,18.8 [14.4-23.8],18.8,14.4,23.8,,2017-01-05T15:40:41Z,2008,2008-01-01,2008-12-31
15418107,NCD_BMI_25A,COUNTRY,SDF,YEAR,1985,SEX,MLE,,,,,,,11.8 [7.8-16.8],11.8,7.8,16.8,,2017-01-05T15:41:06Z,1985,1985-01-01,1985-12-31
15418108,NCD_BMI_25A,COUNTRY,SDF,YEAR,1987,SEX,MLE,,,,,,,12.1 [8.2-16.9],12.1,8.2,16.9,,2017-01-05T15:41:06Z,1987,1987-01-01,1987-12-31
15418109,NCD_BMI_25A,COUNTRY,SDF,YEAR,1993,SEX,MLE,,,,,,,13.2 [9.4-17.9],13.2,9.4,17.9,,2017-01-05T15:41:06Z,1993,1993-01-01,1993-12-31
15418110,NCD_BMI_25A,COUNTRY,SDF,YEAR,1994,SEX,MLE,,,,,,,13.5 [9.6-18.1],13.5,9.6,18.1,,2017-01-05T15:41:06Z,1994,1994-01-01,1994-12-31
15418111,NCD_BMI_25A,COUNTRY,SDF,YEAR,1996,SEX,MLE,,,,,,,14.0 [10.2-18.6],14,10.2,18.6,,2017-01-05T15:41:06Z,1996,1996-01-01,1996-12-31
15418112,NCD_BMI_25A,COUNTRY,SDF,YEAR,2004,SEX,MLE,,,,,,,17.0 [13.0-21.5],17,13,21.5,,2017-01-05T15:41:06Z,2004,2004-01-01,2004-12-31
15418113,NCD_BMI_25A,COUNTRY,SDF,YEAR,2005,SEX,MLE,,,,,,,17.4 [13.4-22.0],17.4,13.4,22,,2017-01-05T15:41:06Z,2005,2005-01-01,2005-12-31
15418114,NCD_BMI_25A,COUNTRY,SDF,YEAR,2013,SEX,MLE,,,,,,,21.1 [15.4-27.7],21.1,15.4,27.7,,2017-01-05T15:41:06Z,2013,2013-01-01,2013-12-31
15418508,NCD_BMI_25A,COUNTRY,SDF,YEAR,1981,SEX,MLE,,,,,,,11.2 [7.1-16.5],11.2,7.1,16.5,,2017-01-05T15:41:28Z,1981,1981-01-01,1981-12-31
15418509,NCD_BMI_25A,COUNTRY,SDF,YEAR,1982,SEX,MLE,,,,,,,11.4 [7.3-16.6],11.4,7.3,16.6,,2017-01-05T15:41:28Z,1982,1982-01-01,1982-12-31
15418510,NCD_BMI_25A,COUNTRY,SDF,YEAR,1984,SEX,MLE,,,,,,,11.7 [7.7-16.7],11.7,7.7,16.7,,2017-01-05T15:41:28Z,1984,1984-01-01,1984-12-31
15418893,NCD_BMI_25A,COUNTRY,SDF,YEAR,1978,SEX,MLE,,,,,,,10.6 [6.3-16.3],10.6,6.3,16.3,,2017-01-05T15:41:50Z,1978,1978-01-01,1978-12-31
15418905,NCD_BMI_25A,COUNTRY,SDF,YEAR,2002,SEX,MLE,,,,,,,16.1 [12.2-20.6],16.1,12.2,20.6,,2017-01-05T15:41:51Z,2002,2002-01-01,2002-12-31
15418906,NCD_BMI_25A,COUNTRY,SDF,YEAR,2010,SEX,MLE,,,,,,,19.7 [14.8-25.1],19.7,14.8,25.1,,2017-01-05T15:41:51Z,2010,2010-01-01,2010-12-31
15419313,NCD_BMI_25A,COUNTRY,SDF,YEAR,1976,SEX,MLE,,,,,,,10.2 [5.6-16.2],10.2,5.6,16.2,,2017-01-05T15:42:16Z,1976,1976-01-01,1976-12-31
15419314,NCD_BMI_25A,COUNTRY,SDF,YEAR,1977,SEX,MLE,,,,,,,10.4 [6.0-16.3],10.4,6,16.3,,2017-01-05T15:42:16Z,1977,1977-01-01,1977-12-31
15419315,NCD_BMI_25A,COUNTRY,SDF,YEAR,1979,SEX,MLE,,,,,,,10.8 [6.5-16.3],10.8,6.5,16.3,,2017-01-05T15:42:16Z,1979,1979-01-01,1979-12-31
15419316,NCD_BMI_25A,COUNTRY,SDF,YEAR,2001,SEX,MLE,,,,,,,15.8 [11.9-20.2],15.8,11.9,20.2,,2017-01-05T15:42:16Z,2001,2001-01-01,2001-12-31
15419715,NCD_BMI_25A,COUNTRY,SDF,YEAR,1998,SEX,MLE,,,,,,,14.7 [10.8-19.2],14.7,10.8,19.2,,2017-01-05T15:42:38Z,1998,1998-01-01,1998-12-31
15419716,NCD_BMI_25A,COUNTRY,SDF,YEAR,2007,SEX,MLE,,,,,,,18.4 [14.1-23.1],18.4,14.1,23.1,,2017-01-05T15:42:39Z,2007,2007-01-01,2007-12-31
